Date,Open,High,Low,Close,Volume,OpenInterest
2019-02-28,2798.0,2798.5,2784.5,2787.5,2531494,0
2019-03-01,2788.0,2811.0,2785.75,2807.75,2510357,0
2019-03-04,2816.75,2822.5,2770.25,2794.25,2442313,0
2019-03-05,2793.25,2801.75,2786.0,2794.25,2422694,0
2019-03-06,2789.25,2795.5,2771.25,2774.25,2384998,0
2019-03-07,2773.0,2779.0,2741.0,2752.25,527589,0
2019-03-08,2751.75,2754.0,2723.75,2749.25,920520,0
2019-03-11,2747.75,2789.75,2739.0,2786.25,1628211,0
2019-03-12,2787.25,2800.5,2782.75,2794.5,2080108,0
2019-03-13,2795.0,2823.75,2785.5,2816.75,2303495,0
2019-03-14,2818.25,2822.25,2805.75,2809.5,2367504,0
2019-03-15,2810.75,2833.75,2809.75,2827.0,2417944,0
2019-03-18,2824.25,2839.25,2821.25,2837.75,2435313,0
2019-03-19,2838.75,2856.0,2826.25,2833.75,2485162,0
2019-03-20,2834.5,2846.5,2814.5,2824.25,2487480,0
2019-03-21,2821.0,2863.25,2811.0,2859.75,2486193,0
2019-03-22,2856.75,2862.0,2802.5,2808.0,2459994,0
2019-03-25,2810.25,2815.75,2786.75,2804.25,2484528,0
2019-03-26,2805.75,2832.25,2803.25,2820.25,2484868,0
2019-03-27,2820.75,2829.0,2789.0,2807.75,2488083,0
2019-03-28,2804.25,2821.5,2792.25,2818.25,2484617,0
2019-03-29,2817.75,2838.0,2817.5,2835.0,2485145,0
2019-04-01,2841.75,2870.75,2841.75,2867.75,2507319,0
2019-04-02,2865.75,2871.0,2859.5,2864.25,2503607,0
2019-04-03,2863.25,2886.5,2862.5,2877.0,2520462,0
2019-04-04,2878.0,2883.0,2868.25,2880.0,2519691,0
2019-04-05,2879.75,2895.25,2877.75,2893.25,2525234,0
2019-04-08,2893.5,2897.0,2881.5,2895.5,2523463,0
2019-04-09,2895.75,2897.25,2874.5,2879.75,2531776,0
2019-04-10,2879.25,2893.25,2875.25,2891.75,2549282,0
2019-04-11,2892.0,2897.25,2882.5,2889.0,2541473,0
2019-04-12,2889.25,2912.0,2888.0,2909.75,2574551,0
2019-04-15,2909.25,2911.75,2897.75,2906.75,2570158,0
2019-04-16,2907.5,2918.5,2901.75,2908.75,2585325,0
2019-04-17,2907.5,2920.75,2895.75,2897.75,2597888,0
2019-04-18,2898.25,2909.0,2886.75,2907.25,2606814,0
2019-04-22,2906.0,2913.0,2896.25,2909.75,2598555,0
2019-04-23,2909.0,2937.0,2905.25,2935.25,2636860,0
2019-04-24,2934.5,2937.0,2925.0,2928.0,2618456,0
2019-04-25,2927.25,2933.0,2911.5,2923.5,2615681,0
2019-04-26,2921.0,2940.0,2914.5,2938.75,2622207,0
2019-04-29,2936.5,2948.75,2935.0,2940.25,2599060,0
2019-04-30,2939.75,2953.75,2923.25,2945.75,2584732,0
2019-05-01,2952.25,2958.5,2913.25,2920.25,2603085,0
2019-05-02,2913.75,2930.0,2898.25,2914.75,2599855,0
2019-05-03,2915.75,2946.75,2913.75,2944.75,2598862,0
2019-05-06,2915.0,2935.5,2880.75,2929.75,2592736,0
2019-05-07,2909.0,2927.75,2859.75,2888.0,2580940,0
2019-05-08,2887.0,2896.75,2866.0,2884.5,2575029,0
2019-05-09,2881.25,2882.75,2833.5,2870.0,2579688,0
2019-05-10,2867.0,2890.25,2823.25,2884.25,2572256,0
2019-05-13,2855.75,2866.5,2799.25,2804.25,2603641,0
2019-05-14,2803.25,2851.0,2797.0,2836.5,2582391,0
2019-05-15,2838.0,2857.25,2812.25,2852.25,2570615,0
2019-05-16,2850.75,2891.25,2837.75,2875.75,2569435,0
2019-05-17,2877.0,2884.75,2849.75,2859.25,2576603,0
2019-05-20,2858.75,2873.75,2829.75,2841.25,2577304,0
2019-05-21,2845.25,2868.0,2843.5,2863.25,2568376,0
2019-05-22,2862.0,2866.75,2845.5,2854.75,2570144,0
2019-05-23,2855.0,2855.75,2803.0,2816.75,2573179,0
2019-05-24,2819.0,2839.25,2816.5,2829.0,2571660,0
2019-05-28,2828.25,2838.5,2797.75,2802.25,2574079,0
2019-05-29,2801.5,2803.25,2763.5,2777.25,2577428,0
2019-05-30,2776.75,2796.25,2773.75,2787.75,2569355,0
2019-05-31,2786.0,2788.25,2747.25,2749.75,2580670,0
2019-06-03,2738.25,2761.0,2726.0,2746.75,2576711,0
2019-06-04,2751.25,2803.5,2741.25,2802.25,2570524,0
2019-06-05,2803.75,2826.75,2798.25,2825.0,2539499,0
2019-06-06,2817.75,2850.25,2810.0,2843.0,2541326,0
